ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,win_times
6,7,13,20,24,26,1
1,10,19,26,27,41,1
2,19,26,30,34,35,1
3,16,21,32,35,38,1
5,14,16,30,35,42,1
5,10,12,16,29,31,1
20,25,29,31,34,41,1
11,14,15,20,23,42,1
12,13,16,17,32,42,1
4,27,30,34,38,39,1
5,8,9,17,24,38,1
4,9,11,25,32,34,1
10,12,13,17,24,26,1
4,14,22,27,33,41,1
7,11,17,27,32,40,1
11,21,22,28,33,35,1
5,19,24,26,28,33,1
1,9,17,28,30,42,1
13,14,17,18,22,34,1
4,6,12,25,27,33,1
5,16,19,23,32,39,1
2,6,10,15,17,41,1
5,15,16,22,39,41,1
4,13,27,30,34,36,1
2,6,17,19,34,38,1
10,19,33,36,41,42,1
12,17,18,19,21,22,1
1,15,16,18,25,35,1
1,2,27,30,33,37,1
6,15,24,38,41,42,1
3,11,17,23,29,35,1
5,18,24,28,29,30,1
9,12,13,28,32,39,1
3,18,23,32,34,40,1
2,8,17,21,35,41,1
2,4,20,23,37,41,1
3,9,12,22,27,30,1
3,8,15,21,22,27,1
1,5,14,16,19,31,1
2,3,24,29,36,38,1
3,12,14,21,26,32,1
2,5,9,23,29,32,1
7,16,21,29,34,42,1
1,6,14,25,31,33,1
10,20,28,29,30,42,1
1,3,11,12,18,30,1
5,11,14,21,31,39,1
3,20,23,28,35,41,1
5,15,18,20,25,32,1
1,5,17,21,22,31,1
7,9,31,33,35,36,1
11,12,18,21,26,34,1
8,14,17,33,35,40,1
6,15,24,25,28,40,1
3,8,18,19,21,38,1
1,3,8,21,33,42,1
3,7,25,34,35,36,1
5,14,16,25,31,39,1
4,16,17,18,26,37,1
2,9,11,38,40,41,1
7,13,21,22,27,42,1
1,3,17,20,32,40,1
4,10,30,31,35,36,1
2,9,17,19,28,30,1
3,12,17,27,29,33,1
2,3,18,19,29,32,1
3,11,14,24,26,42,1
3,8,14,22,27,33,1
1,5,20,25,37,42,1
4,7,8,15,16,42,1
1,5,9,16,21,29,1
10,14,18,20,32,39,1
2,10,28,33,34,37,1
6,9,15,19,21,39,1
1,13,14,24,35,41,1
9,12,20,21,24,27,1
2,3,23,33,36,42,1
5,8,9,16,36,41,1
11,16,18,26,33,36,1
3,11,25,34,39,42,1
4,6,9,16,25,30,1
4,5,17,28,33,35,1
10,14,15,27,30,41,1
14,15,28,29,35,37,1
12,20,30,36,40,42,1
2,3,10,14,17,42,1
4,14,22,23,27,40,1
13,18,30,33,38,40,1
5,8,16,32,38,42,1
21,28,34,35,39,42,1
5,8,20,29,31,42,1
5,19,22,23,26,41,1
8,9,11,15,19,32,1
4,12,21,26,38,42,1
1,9,22,24,35,40,1
4,8,9,15,35,42,1
2,18,26,32,36,41,1
8,25,26,27,30,38,1
2,5,25,27,34,39,1
8,11,17,18,27,32,1
2,7,13,18,20,24,1
1,9,18,32,33,37,1
