ball_1,ball_2,ball_3,ball_4,ball_5,win_times
10,18,19,28,39,1
1,5,13,26,34,1
4,17,29,33,34,1
5,8,16,19,26,1
5,7,16,19,26,1
5,7,8,19,26,1
5,7,8,16,26,1
5,7,8,16,19,1
5,6,13,22,36,1
2,6,13,22,36,1
2,5,13,22,36,1
2,5,6,22,36,1
2,5,6,13,36,1
2,5,6,13,22,1
4,11,14,18,34,1
1,11,14,18,34,1
1,4,14,18,34,1
1,4,11,18,34,1
1,4,11,14,34,1
1,4,11,14,18,1
7,8,16,19,26,1
4,17,29,33,37,1
2,11,19,21,28,1
4,17,29,34,37,1
3,13,16,33,41,1
3,13,16,33,34,1
9,18,22,26,41,1
5,18,22,26,41,1
5,9,22,26,41,1
5,9,18,26,41,1
5,9,18,22,41,1
5,9,18,22,26,1
11,13,19,27,32,1
10,13,19,27,32,1
10,11,19,27,32,1
10,11,13,27,32,1
10,11,13,19,32,1
10,11,13,19,27,1
17,29,33,34,37,1
4,29,33,34,37,1
4,17,33,34,37,1
6,11,19,21,28,1
2,6,19,21,28,1
3,13,33,34,41,1
10,16,30,37,41,1
1,10,30,37,41,1
1,10,16,37,41,1
1,10,16,30,41,1
1,10,16,30,37,1
27,29,30,33,41,1
11,29,30,33,41,1
11,27,30,33,41,1
11,27,29,33,41,1
11,27,29,30,41,1
11,27,29,30,33,1
12,13,27,34,35,1
4,13,27,34,35,1
10,19,24,31,33,1
4,12,13,34,35,1
4,12,13,27,35,1
4,12,13,27,34,1
3,5,13,26,34,1
1,16,30,37,41,1
2,9,10,18,33,1
2,6,11,21,28,1
2,9,10,18,41,1
2,6,11,19,28,1
2,6,11,19,21,1
13,18,26,27,29,1
9,18,26,27,29,1
9,13,26,27,29,1
9,13,18,27,29,1
9,13,18,26,29,1
9,13,18,26,27,1
13,19,30,31,42,1
7,19,30,31,42,1
7,13,19,31,42,1
7,13,19,30,42,1
7,13,19,30,31,1
9,10,18,33,41,1
2,10,18,33,41,1
2,9,18,33,41,1
2,9,10,33,41,1
3,13,16,34,41,1
3,16,33,34,41,1
10,16,19,28,39,1
8,14,27,31,40,1
22,27,30,31,42,1
19,27,30,31,42,1
19,22,30,31,42,1
19,22,27,31,42,1
19,22,27,30,42,1
19,22,27,30,31,1
12,14,16,31,40,1
3,14,16,31,40,1
3,12,16,31,40,1
3,12,14,31,40,1
3,12,14,16,40,1
3,12,14,16,31,1
7,18,20,22,31,1
5,18,20,22,31,1
5,7,20,22,31,1
5,7,18,22,31,1
5,7,18,20,31,1
8,14,27,31,37,1
8,14,27,37,40,1
16,18,31,36,37,1
8,14,31,37,40,1
10,16,18,28,39,1
10,16,18,19,39,1
10,16,18,19,28,1
4,5,10,36,41,1
1,5,10,36,41,1
1,4,10,36,41,1
1,4,5,36,41,1
1,4,5,10,41,1
1,4,5,10,36,1
10,18,27,33,35,1
6,18,27,33,35,1
6,10,27,33,35,1
6,10,18,33,35,1
6,10,18,27,35,1
6,10,18,27,33,1
14,27,31,37,40,1
8,27,31,37,40,1
5,7,18,20,22,1
14,18,31,36,37,1
13,16,33,34,41,1
1,3,11,12,15,1
4,22,23,26,30,1
4,18,23,26,30,1
4,18,22,26,30,1
4,18,22,23,30,1
4,18,22,23,26,1
6,10,16,34,41,1
4,10,16,34,41,1
4,6,16,34,41,1
4,6,10,34,41,1
4,6,10,16,41,1
4,6,10,16,34,1
32,33,37,38,39,1
16,33,37,38,39,1
16,32,37,38,39,1
16,32,33,38,39,1
16,32,33,37,39,1
16,32,33,37,38,1
18,22,23,26,30,1
1,3,11,12,35,1
14,16,31,36,37,1
1,3,11,15,35,1
14,16,18,36,37,1
14,16,18,31,37,1
14,16,18,31,36,1
10,11,20,21,40,1
6,11,20,21,40,1
6,10,20,21,40,1
6,10,11,21,40,1
6,10,11,20,40,1
6,10,11,20,21,1
9,15,32,35,39,1
4,15,32,35,39,1
4,9,32,35,39,1
4,9,15,35,39,1
4,9,15,32,35,1
3,11,12,15,35,1
1,11,12,15,35,1
1,3,12,15,35,1
10,19,24,31,41,1
6,8,26,29,38,1
8,11,26,29,38,1
15,16,19,30,33,1
17,19,21,32,35,1
10,19,21,32,35,1
10,17,21,32,35,1
10,17,19,32,35,1
10,17,19,21,35,1
10,17,19,21,32,1
16,17,19,30,33,1
15,17,19,30,33,1
15,16,17,30,33,1
2,30,34,36,40,1
15,16,17,19,33,1
15,16,17,19,30,1
30,34,36,37,40,1
8,34,36,37,40,1
8,30,36,37,40,1
8,30,34,37,40,1
8,30,34,36,40,1
8,30,34,36,37,1
6,7,9,25,39,1
6,7,9,25,42,1
6,7,9,39,42,1
6,7,25,39,42,1
2,7,30,36,40,1
2,7,30,34,40,1
2,7,30,34,36,1
12,16,18,36,40,1
4,16,18,36,40,1
4,12,18,36,40,1
4,12,16,36,40,1
4,12,16,18,40,1
4,12,16,18,36,1
5,25,27,32,40,1
2,25,27,32,40,1
2,5,27,32,40,1
2,5,25,32,40,1
2,5,25,27,40,1
2,5,25,27,32,1
7,9,25,39,42,1
6,9,25,39,42,1
11,29,32,35,38,1
2,29,32,35,38,1
2,11,32,35,38,1
8,11,12,16,17,1
3,9,24,31,42,1
3,7,24,31,42,1
3,7,9,31,42,1
3,7,9,24,42,1
3,7,9,24,31,1
22,28,33,36,37,1
21,28,33,36,37,1
21,22,33,36,37,1
21,22,28,36,37,1
21,22,28,33,37,1
21,22,28,33,36,1
12,16,21,31,41,1
11,16,21,31,41,1
11,12,21,31,41,1
11,12,16,31,41,1
11,12,16,21,41,1
11,12,16,21,31,1
7,9,24,31,42,1
8,11,12,16,25,1
2,11,29,35,38,1
8,11,12,17,25,1
2,11,29,32,38,1
2,11,29,32,35,1
7,8,9,33,34,1
1,8,9,33,34,1
1,7,9,33,34,1
1,7,8,33,34,1
1,7,8,9,34,1
1,7,8,9,33,1
11,22,29,31,34,1
1,22,29,31,34,1
1,11,29,31,34,1
1,11,22,31,34,1
1,11,22,29,34,1
1,11,22,29,31,1
11,12,16,17,25,1
8,12,16,17,25,1
8,11,16,17,25,1
2,7,34,36,40,1
7,30,34,36,40,1
5,23,29,31,36,1
2,21,28,36,38,1
1,5,6,12,13,1
31,33,34,38,40,1
19,33,34,38,40,1
19,31,34,38,40,1
19,31,33,38,40,1
19,31,33,34,40,1
19,31,33,34,38,1
16,21,28,36,38,1
