game_number,day,month,year,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,super_ball,MEGA_JACK_POT_WINNERS,MEGA_JACK_POT_SUMM,MEGA_PRISE_WINNERS,MEGA_PRISE_SUMM,5_plus_MegaBall_WINNERS,5_plus_MegaBall_SUMM,5_Balls_WINNERS,5_Balls_SUMM,4_plus_MegaBall_WINNERS,4_plus_MegaBall_SUMM,4_Balls_WINNERS,4_Balls_SUMM,3_plus_MegaBall_WINNERS,3_plus_MegaBall_SUMM,3_Balls_WINNERS,3_Balls_SUMM
1181,22,12,2012,03,09,26,28,35,39,4,0,15000000,0,7500000,1,30242,2,15121,28,496,219,248,571,50,3172,25
1182,26,12,2012,04,08,10,29,36,42,8,0,15000000,0,7500000,0,0,6,9423,33,498,252,249,693,44,3805,22
1183,29,12,2012,18,19,20,23,30,37,5,0,15000000,0,7500000,2,12754,8,6377,54,420,302,210,911,44,4571,22
1184,2,1,2013,03,07,17,18,29,39,8,0,15000000,0,7500000,0,0,2,21763,28,434,225,217,438,44,3106,22
1185,5,1,2013,03,07,08,17,29,31,3,0,15000000,0,7500000,2,8972,10,4486,52,364,284,182,779,44,3687,22
1186,9,1,2013,06,09,16,24,34,41,1,0,15000000,0,7500000,0,0,3,15721,26,332,344,166,539,36,4200,18
1187,12,1,2013,01,04,16,22,23,36,6,0,15000000,0,7500000,1,16030,6,8015,37,432,261,216,726,42,3970,21
1188,16,1,2013,10,16,19,22,25,29,4,0,15000000,0,7500000,0,0,10,5282,36,474,239,237,581,48,3302,24
1189,19,1,2013,12,22,25,32,34,37,2,0,15000000,0,7500000,0,0,6,9405,43,498,230,249,500,52,3425,26
1190,23,1,2013,08,09,10,11,23,26,2,0,15000000,0,7500000,0,0,6,9039,40,460,250,230,467,44,4004,22
1191,26,1,2013,07,19,22,23,33,39,6,0,15000000,0,7500000,0,0,8,6865,37,414,295,207,632,42,4169,21
1192,30,1,2013,06,10,26,29,35,40,8,0,15000000,0,7500000,0,0,5,10736,32,514,229,257,457,52,3283,26
1193,2,2,2013,06,07,08,19,21,29,5,0,15000000,0,7500000,0,0,4,14074,40,510,228,255,764,44,3674,22
1194,6,2,2013,01,03,07,08,09,30,5,0,15000000,0,7500000,3,4914,19,2457,57,304,341,152,751,40,4080,20
1195,9,2,2013,04,08,25,26,33,36,7,0,15000000,0,7500000,1,21626,4,10813,49,542,172,271,750,48,3362,24
1196,13,2,2013,02,12,17,24,28,29,9,0,15000000,0,7500000,1,9166,12,4583,49,352,313,176,714,40,4484,20
1197,16,2,2013,11,16,19,21,22,23,2,0,15000000,0,7500000,1,14116,7,7058,79,290,335,145,786,34,4985,17
1198,20,2,2013,14,24,33,34,35,37,8,0,15000000,0,7500000,1,30000,2,15000,23,560,196,280,420,52,3386,26
1199,23,2,2013,16,21,22,26,35,41,1,0,15000000,0,7500000,3,9116,9,4558,35,472,257,236,509,50,3958,25
1200,27,2,2013,04,12,21,27,35,42,2,0,15000000,0,7500000,1,17034,5,8517,24,526,208,263,520,48,3440,24
1201,2,3,2013,02,05,10,26,29,40,4,0,15000000,0,7500000,0,0,6,9284,42,472,246,236,743,44,3758,22
1202,6,3,2013,11,15,30,31,32,40,7,0,15000000,0,7500000,0,0,6,8954,51,446,233,223,707,44,3671,22
1203,9,3,2013,07,19,21,30,35,40,2,0,15000000,0,7500000,2,7868,11,3934,23,410,278,205,545,44,3787,22
1204,13,3,2013,02,05,06,14,33,35,4,0,15000000,0,7500000,0,0,10,5422,22,608,204,304,555,46,3600,23
1205,16,3,2013,01,03,14,35,41,42,6,0,15000000,0,7500000,0,0,4,13664,40,478,239,239,541,50,3424,25
1206,20,3,2013,01,15,17,28,32,38,7,0,15000000,0,7500000,0,0,2,27506,34,590,192,295,587,54,3068,27
1207,23,3,2013,01,06,29,30,35,38,0,0,15000000,0,7500000,0,0,3,19456,26,664,193,332,428,60,3100,30
1208,27,3,2013,05,08,16,36,37,42,1,0,15000000,1,7500000,1,22212,4,11106,39,478,236,239,499,50,3925,25
1209,30,3,2013,01,16,24,26,36,42,9,0,15000000,0,7500000,1,18660,6,9330,38,512,253,256,567,52,4073,26
1210,3,4,2013,05,07,17,18,19,40,8,0,15000000,0,7500000,3,14910,3,7455,50,394,283,197,689,40,4730,20
1211,6,4,2013,04,07,14,22,23,36,4,0,15000000,0,7500000,2,13772,7,6886,73,378,306,189,999,42,4544,21
1212,10,4,2013,01,15,20,25,26,35,2,0,15000000,0,7500000,0,0,7,9838,52,486,292,243,729,46,4536,23
1213,13,4,2013,02,05,07,15,34,37,2,0,15000000,0,7500000,0,0,7,9990,46,558,260,279,742,46,4642,23
1214,17,4,2013,01,04,11,18,29,35,4,0,15000000,0,7500000,0,0,5,12622,43,528,248,264,786,46,4155,23
1215,20,4,2013,08,12,15,26,35,36,1,0,15000000,0,7500000,0,0,4,15545,28,492,298,246,519,48,4272,24
1216,24,4,2013,02,06,16,19,24,41,9,0,15000000,0,7500000,3,10032,8,5016,65,316,371,158,721,38,5199,19
1217,27,4,2013,02,05,14,26,37,39,5,0,15000000,0,7500000,0,0,5,12333,48,504,246,252,714,50,3597,25
1218,1,5,2013,02,13,24,25,27,34,5,0,15000000,0,7500000,1,18162,5,9081,48,466,212,233,661,44,3828,22
1219,4,5,2013,03,10,17,20,23,24,0,0,15000000,0,7500000,2,15940,4,7970,37,360,326,180,481,44,4384,22
1220,8,5,2013,01,03,08,26,27,36,1,0,15000000,0,7500000,0,0,2,26308,31,538,212,269,564,46,3627,23
1221,11,5,2013,20,24,25,27,28,29,7,0,15000000,0,7500000,1,23116,3,11558,30,686,130,343,609,56,2489,28
1222,15,5,2013,12,13,16,29,37,41,6,0,15000000,0,7500000,3,14058,3,7029,52,484,191,242,655,46,3649,23
1223,18,5,2013,07,20,33,37,39,42,9,0,15000000,0,7500000,0,0,3,19137,36,458,280,229,596,48,3800,24
1224,22,5,2013,05,08,14,24,25,30,8,0,15000000,0,7500000,0,0,8,6931,38,432,284,216,593,42,4100,21
1225,25,5,2013,16,18,27,29,31,32,1,0,15000000,0,7500000,0,0,8,7162,25,616,210,308,499,50,3719,25
1226,29,5,2013,02,09,14,21,26,27,0,0,15000000,0,7500000,0,0,1,53444,33,390,317,195,518,40,4493,20
1227,1,6,2013,03,22,28,34,35,36,4,0,15000000,0,7500000,2,12320,6,6160,64,386,231,193,769,44,3606,22
1228,5,6,2013,09,14,19,21,29,33,7,0,15000000,0,7500000,3,7634,10,3817,83,290,307,145,1016,36,4123,18
1229,8,6,2013,01,12,21,25,26,27,8,0,15000000,0,7500000,0,0,6,9488,29,448,297,224,602,44,4186,22
